time,x,xd,theta,thetad,u_cmd,u_sat,u_applied,sat
16.08999999999668,-9.019305990178392e-08,2.273437676328221e-07,-4.2866240232144796e-08,6.434198565549877e-08,6.094006551880343e-09,6.094006551880343e-09,-6.094006551880343e-09,0
16.099999999996694,-8.79398055405376e-08,2.2331610827539218e-07,-4.222713036573458e-08,6.348705412159384e-08,6.030902097168653e-09,6.030902097168653e-09,-6.030902097168653e-09,0
16.109999999996706,-8.572652421148248e-08,2.1934903495426102e-07,-4.1596518411040615e-08,6.264233995489048e-08,5.9683308375849004e-09,5.9683308375849004e-09,-5.9683308375849004e-09,0
16.11999999999672,-8.355261411962745e-08,2.1544173618501733e-07,-4.097430273633382e-08,6.180773514451586e-08,5.9062901924150416e-09,5.9062901924150416e-09,-5.9062901924150416e-09,0
16.12999999999673,-8.141748153589178e-08,2.115934102515059e-07,-4.036038278508303e-08,6.098313267689619e-08,5.844777538278607e-09,5.844777538278607e-09,-5.844777538278607e-09,0
16.139999999996743,-7.932054069989894e-08,2.0780326511824242e-07,-3.975465906600851e-08,6.01684264647875e-08,5.783790198587377e-09,5.783790198587377e-09,-5.783790198587377e-09,0
16.149999999996755,-7.726121372364595e-08,2.0407051831724843e-07,-3.915703314440326e-08,5.936351135498632e-08,5.723325547829906e-09,5.723325547829906e-09,-5.723325547829906e-09,0
16.159999999996767,-7.523893049638138e-08,2.003943968504887e-07,-3.856740763244139e-08,5.8568283110850116e-08,5.6633808908274536e-09,5.6633808908274536e-09,-5.6633808908274536e-09,0
16.16999999999678,-7.325312859047128e-08,1.9677413708911454e-07,-3.798568617966853e-08,5.778263841598789e-08,5.6039534639319526e-09,5.6039534639319526e-09,-5.6039534639319526e-09,0
16.17999999999679,-7.130325316813095e-08,1.9320898465843179e-07,-3.741177346446552e-08,5.7006474916747206e-08,5.545040616819451e-09,5.545040616819451e-09,-5.545040616819451e-09,0
16.189999999996804,-6.938875688939197e-08,1.896981943561694e-07,-3.684557518424821e-08,5.623969114487746e-08,5.486639571929526e-09,5.486639571929526e-09,-5.486639571929526e-09,0
16.199999999996816,-6.750909982092235e-08,1.862410300483901e-07,-3.628699804632989e-08,5.548218653908051e-08,5.428747538901496e-09,5.428747538901496e-09,-5.428747538901496e-09,0
16.20999999999683,-6.566374934579902e-08,1.8283676456707652e-07,-3.57359497591706e-08,5.4733861459299206e-08,5.371361731896779e-09,5.371361731896779e-09,-5.371361731896779e-09,0
16.21999999999684,-6.385218007428859e-08,1.7948467961668374e-07,-3.519233902357386e-08,5.399461712246817e-08,5.314479428494573e-09,5.314479428494573e-09,-5.314479428494573e-09,0
16.229999999996853,-6.207387375574216e-08,1.7618406567541606e-07,-3.465607552311568e-08,5.326435567362884e-08,5.258097741456922e-09,5.258097741456922e-09,-5.258097741456922e-09,0
16.239999999996865,-6.032831919126129e-08,1.7293422189260156e-07,-3.412706991539973e-08,5.2542980201241485e-08,5.202213844693284e-09,5.202213844693284e-09,-5.202213844693284e-09,0
16.249999999996877,-5.8615012147306265e-08,1.6973445602395218e-07,-3.360523382356007e-08,5.183039453855107e-08,5.146824937012235e-09,5.146824937012235e-09,-5.146824937012235e-09,0
16.25999999999689,-5.6933455270379945e-08,1.6658408429700278e-07,-3.3090479827344346e-08,5.112650349922251e-08,5.091928152542753e-09,5.091928152542753e-09,-5.091928152542753e-09,0
